region,city,state,popsize,pop_est,white,black,indig,asian,h_pi,two,hisp_lat,white_nonhi
southwest,Albuquerque,New Mexico,"500k-999,999",560513,0.739,0.033,0.047,0.029,0.001,0.044,0.492,0.389
southeast,Atlanta,Georgia,"500k-999,999",506811,0.409,0.51,0.003,0.044,0,0.024,0.043,0.383
southwest,Austin,Texas,"500k-999,999",978908,0.726,0.078,0.007,0.076,0.001,0.035,0.339,0.483
northeast,Baltimore,Maryland,"500k-999,999",593490,0.305,0.624,0.3,0.026,0,0.025,0.053,0.275
northeast,Boston,Massachusetts,"500k-999,999",692600,0.528,0.252,0.003,0.097,0.001,0.053,0.198,0.445
southeast,Charlotte,North Carolina,"500k-999,999",885708,0.488,0.352,0.004,0.065,0.001,0.028,0.143,0.415
midwest,Chicago,Illinois,1M+,2693976,0.5,0.296,0.003,0.066,0,0.028,0.288,0.333
west,Colorado Springs,Colorado,<500k,478221,0.785,0.065,0.008,0.029,0.003,0.059,0.176,0.686
midwest,Columbus,Ohio,"500k-999,999",898553,0.586,0.29,0.003,0.058,0,0.042,0.062,0.551
southwest,Dallas,Texas,1M+,1343573,0.627,0.243,0.003,0.034,0,0.024,0.418,0.29
west,Denver,Colorado,"500k-999,999",727211,0.761,0.092,0.009,0.037,0.002,0.038,0.299,0.542
midwest,Detroit,Michigan,"500k-999,999",670031,0.147,0.783,0.004,0.017,0,0.018,0.077,0.105
southwest,El Paso,Texas,"500k-999,999",681728,0.801,0.036,0.006,0.014,0.002,0.027,0.814,0.128
southwest,Fort Worth,Texas,"500k-999,999",909585,0.638,0.189,0.005,0.046,0.001,0.032,0.351,0.392
west,Fresno,California,"500k-999,999",531576,0.605,0.074,0.012,0.138,0.001,0.042,0.496,0.269
southwest,Houston,Texas,1M+,2320268,0.57,0.226,0.003,0.068,0.001,0.022,0.45,0.244
midwest,Indianapolis,Indiana,"500k-999,999",876384,0.609,0.286,0.003,0.034,0,0.033,0.105,0.545
southeast,Jacksonville,Florida,"500k-999,999",911507,0.582,0.31,0.002,0.048,0.001,0.036,0.1,0.512
midwest,Kansas City,Missouri,<500k,497159,0.569,0.233,0.005,0.049,0.002,0.046,0.304,0.381
west,Las Vegas,Nevada,"500k-999,999",651319,0.619,0.122,0.009,0.069,0.008,0.052,0.331,0.435
west,Los Angeles,California,1M+,3979576,0.521,0.089,0.007,0.116,0.002,0.038,0.485,0.285
southeast,Louisville,Kentucky,"500k-999,999",617638,0.699,0.236,0.002,0.027,0.001,0.026,0.056,0.656
southeast,Memphis,Tennessee,"500k-999,999",651073,0.292,0.641,0.002,0.017,0,0.015,0.072,0.257
southwest,Mesa,Arizona,"500k-999,999",518012,0.815,0.042,0.026,0.022,0.005,0.035,0.277,0.613
midwest,Milwaukee,Wisconsin,"500k-999,999",590157,0.444,0.387,0.006,0.043,0,0.04,0.19,0.351
southeast,Nashville,Tennessee,"500k-999,999",670820,0.635,0.276,0.002,0.037,0.001,0.026,0.105,0.554
northeast,New York City,New York,1M+,8336817,0.427,0.243,0.004,0.141,0.001,0.036,0.291,0.321
southwest,Oklahoma City,Oklahoma,"500k-999,999",655057,0.677,0.143,0.029,0.045,0.001,0.063,0.197,0.535
midwest,Omaha,Nebraska,<500k,478192,0.775,0.123,0.006,0.038,0,0.034,0.139,0.666
northeast,Philadelphia,Pennsylvania,1M+,1584064,0.407,0.421,0.004,0.072,0,0.031,0.147,0.345
west,Phoenix,Arizona,1M+,1680992,0.729,0.071,0.021,0.038,0.002,0.039,0.426,0.425
west,Portland,Oregon,"500k-999,999",654741,0.774,0.058,0.008,0.082,0.006,0.053,0.097,0.706
west,Sacramento,California,"500k-999,999",513624,0.463,0.132,0.007,0.189,0.017,0.074,0.289,0.324
southwest,San Antonio,Texas,1M+,1547253,0.803,0.07,0.008,0.028,0.001,0.03,0.642,0.247
west,San Diego,California,1M+,1423851,0.651,0.064,0.005,0.167,0.004,0.053,0.303,0.428
west,San Francisco,California,"500k-999,999",881549,0.464,0.052,0.004,0.344,0.004,0.056,0.152,0.405
west,San Jose,California,1M+,1021795,0.399,0.03,0.006,0.359,0.005,0.053,0.316,0.257
west,Seattle,Washington,"500k-999,999",753675,0.673,0.073,0.005,0.154,0.003,0.069,0.067,0.638
southwest,Tucson,Arizona,"500k-999,999",548073,0.721,0.052,0.037,0.032,0.002,0.054,0.436,0.439
northeast,Washington,District of Columbia,"500k-999,999",705749,0.413,0.463,0.003,0.04,0.001,0.031,0.11,0.366